transport soak: 4 readers, 86400s, 1048576 byte region
  reader 0: 2663 reads, 0 violations, at version 47212
  reader 1: 2640 reads, 0 violations, at version 47265
  reader 2: 2655 reads, 0 violations, at version 47265
  reader 3: 2675 reads, 0 violations, at version 47603
  reader 0: 5342 reads, 0 violations, at version 95588
  reader 1: 5310 reads, 0 violations, at version 95624
  reader 2: 5366 reads, 0 violations, at version 95675
  reader 3: 5362 reads, 0 violations, at version 96126
  reader 1: 8241 reads, 0 violations, at version 148150
  reader 0: 8237 reads, 0 violations, at version 148105
  reader 2: 8195 reads, 0 violations, at version 148164
  reader 3: 8236 reads, 0 violations, at version 148859
  reader 1: 10818 reads, 0 violations, at version 193848
  reader 2: 10763 reads, 0 violations, at version 193848
  reader 0: 10739 reads, 0 violations, at version 193778
  reader 3: 10751 reads, 0 violations, at version 194346
  reader 1: 13451 reads, 0 violations, at version 239509
  reader 0: 13294 reads, 0 violations, at version 239517
  reader 2: 13379 reads, 0 violations, at version 239509
  reader 3: 13311 reads, 0 violations, at version 240105
  reader 1: 16168 reads, 0 violations, at version 289673
  reader 0: 16078 reads, 0 violations, at version 289680
  reader 2: 16119 reads, 0 violations, at version 289782
  reader 3: 16069 reads, 0 violations, at version 290020
  reader 0: 18226 reads, 0 violations, at version 326305
  reader 1: 18270 reads, 0 violations, at version 326292
  reader 2: 18207 reads, 0 violations, at version 326508
  reader 3: 18138 reads, 0 violations, at version 326793
  reader 0: 20898 reads, 0 violations, at version 374472
  reader 1: 20931 reads, 0 violations, at version 374433
  reader 2: 20914 reads, 0 violations, at version 374645
  reader 3: 20853 reads, 0 violations, at version 375159
  reader 0: 23699 reads, 0 violations, at version 426580
  reader 1: 23747 reads, 0 violations, at version 426564
  reader 2: 23670 reads, 0 violations, at version 426642
  reader 3: 23709 reads, 0 violations, at version 427027
  reader 0: 26390 reads, 0 violations, at version 475004
  reader 1: 26509 reads, 0 violations, at version 475165
  reader 2: 26416 reads, 0 violations, at version 475061
  reader 3: 26345 reads, 0 violations, at version 475592
  reader 0: 28910 reads, 0 violations, at version 521989
  reader 1: 29018 reads, 0 violations, at version 522001
  reader 2: 28954 reads, 0 violations, at version 522124
  reader 3: 28893 reads, 0 violations, at version 522466
  reader 0: 31026 reads, 0 violations, at version 558984
  reader 2: 30990 reads, 0 violations, at version 558983
  reader 1: 31079 reads, 0 violations, at version 558983
  reader 3: 30952 reads, 0 violations, at version 558987
  reader 0: 33563 reads, 0 violations, at version 608167
  reader 2: 33542 reads, 0 violations, at version 608443
  reader 1: 33670 reads, 0 violations, at version 608455
  reader 3: 33500 reads, 0 violations, at version 609002
  reader 0: 35765 reads, 0 violations, at version 650090
  reader 2: 35747 reads, 0 violations, at version 650339
  reader 1: 35878 reads, 0 violations, at version 650374
  reader 3: 35704 reads, 0 violations, at version 650933
